epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1149.23,0.87977,1.41589,0.80334,1.07415,0.8132,0.6988,0.7666,0.55222,0.75605,0.60241,0.61952,0.20101,1.04949,1.17577,1.07163,1.07893,0.0008516,0.0008516,0.0008516
31,1188.4,0.86438,1.42044,0.78405,1.06967,0.82142,0.68349,0.76556,0.55656,0.715,0.59445,0.60789,0.21397,1.06544,1.18194,1.04921,1.08202,0.000812,0.000812,0.000812
32,1228,0.86459,1.41854,0.78861,1.07187,0.80538,0.71461,0.76885,0.55698,0.73497,0.6571,0.62853,0.20782,1.0027,1.18165,1.07191,1.07394,0.0007724,0.0007724,0.0007724
33,1266.9,0.87161,1.39722,0.78157,1.07849,0.77583,0.68675,0.77363,0.55956,0.65518,0.58756,0.59517,0.20623,1.02005,1.15987,1.10458,1.05497,0.0007328,0.0007328,0.0007328
34,1306.3,0.84922,1.39479,0.7708,1.06212,0.83109,0.72691,0.77334,0.56704,0.74122,0.61847,0.61971,0.20603,1.01095,1.17959,1.0642,1.07565,0.0006932,0.0006932,0.0006932
35,1345.99,0.86182,1.40619,0.77404,1.06435,0.83328,0.70254,0.79735,0.58008,0.77612,0.58233,0.63646,0.20311,0.99724,1.179,1.01346,1.05491,0.0006536,0.0006536,0.0006536
36,1385.31,0.84802,1.40635,0.75527,1.05993,0.7928,0.71084,0.78703,0.58363,0.66346,0.6413,0.63551,0.21503,1.02675,1.19056,1.03682,1.05097,0.000614,0.000614,0.000614
37,1424.46,0.83083,1.38245,0.73559,1.05683,0.84033,0.71861,0.78848,0.59365,0.75833,0.61847,0.61596,0.2033,1.01097,1.19335,1.01783,1.04563,0.0005744,0.0005744,0.0005744
38,1463.99,0.83361,1.39011,0.74698,1.05524,0.82845,0.70281,0.78722,0.57035,0.7101,0.60241,0.61543,0.20588,0.99651,1.18025,1.0177,1.04496,0.0005348,0.0005348,0.0005348
39,1503.72,0.82868,1.39071,0.73437,1.04705,0.86982,0.64402,0.77037,0.56577,0.6732,0.62876,0.63044,0.2142,1.00588,1.18655,1.02149,1.06029,0.0004952,0.0004952,0.0004952
40,1542.43,0.82534,1.39886,0.72569,1.04771,0.77079,0.73092,0.78541,0.57665,0.66072,0.64915,0.62317,0.20731,0.99315,1.18375,1.00569,1.04738,0.0004556,0.0004556,0.0004556
41,1616.85,0.76902,1.05647,0.77437,1.12546,0.84071,0.71888,0.79382,0.59188,0.7649,0.64659,0.67831,0.21945,0.971,1.18036,0.98259,1.05038,0.000416,0.000416,0.000416
42,1655.67,0.75758,1.03746,0.75925,1.12054,0.85655,0.72289,0.79291,0.58828,0.74849,0.63052,0.6362,0.2075,0.95788,1.17462,0.96085,1.03566,0.0003764,0.0003764,0.0003764
43,1694.4,0.73758,1.04647,0.72465,1.10708,0.8604,0.71784,0.80985,0.61201,0.76338,0.63487,0.67658,0.22635,0.90222,1.1584,0.93759,1.0103,0.0003368,0.0003368,0.0003368
44,1732.94,0.73155,1.03348,0.72454,1.10646,0.88091,0.68675,0.80889,0.61654,0.78552,0.60307,0.65954,0.22189,0.90377,1.17406,0.91174,0.9961,0.0002972,0.0002972,0.0002972
45,1771.65,0.70035,1.01971,0.69268,1.09469,0.86279,0.71486,0.80964,0.61806,0.78815,0.59765,0.63885,0.22129,0.91439,1.22255,0.94228,1.01325,0.0002576,0.0002576,0.0002576
46,1811.07,0.69939,1.03169,0.67568,1.08635,0.8855,0.68675,0.79851,0.61601,0.79334,0.61446,0.65393,0.22352,0.89819,1.17147,0.92931,0.99057,0.000218,0.000218,0.000218
47,1849.8,0.68754,1.01987,0.662,1.08338,0.81875,0.74379,0.79531,0.61252,0.74536,0.67068,0.66654,0.22266,0.87966,1.16469,0.89692,0.97945,0.0001784,0.0001784,0.0001784
48,1890.38,0.68578,1.03189,0.64819,1.08619,0.85924,0.71486,0.79981,0.61514,0.75151,0.62249,0.63309,0.222,0.89782,1.19247,0.89341,0.9902,0.0001388,0.0001388,0.0001388
49,1929.3,0.6689,1.01335,0.64111,1.07124,0.86469,0.71863,0.80363,0.62991,0.76438,0.61847,0.63698,0.22655,0.87467,1.166,0.87384,0.9782,9.92e-05,9.92e-05,9.92e-05
50,1969.6,0.65875,0.99794,0.62222,1.07169,0.82625,0.73896,0.80529,0.62285,0.75699,0.62551,0.6423,0.22327,0.88209,1.1778,0.87642,0.97916,5.96e-05,5.96e-05,5.96e-05
